question_id,question,method,retrieved_ids,source_excerpts,source_correct,justification_humaine
1,What sounds or noises did witnesses hear during the sightings?,tfidf,R35216 R35275 R56472 R52235 R34128 R37001 R52853 R57442 R81162 R63058 R40011 R12308 R60008 R4826 R40961 R33175 R34220 R12055 R58076 R54083 R38519 R53761 R54262 R79287 R80330 R77921 R23114 R46545 R39377 R73959,"[R35216] 3/15/2009 00:00 | erith (uk/england) |  | gb | unknown | Odd noises
[R35275] 3/15/2013 20:00 | montoursville | pa | us | circle | Montoursville sightings.
[R56472] 6/2/2004 18:00 | pahrump | nv | us | formation | didn't see anythign nor did we hear anything but there they were.
[R52235] 6/1/1972 22:00 | winnebago | il | us | triangle | It seemed to hear what we were talking about.
[R34128] 3/1/2011 00:00 | reading | pa | us | sphere | What did I see?",FALSE,TF-IDF s'abstient alors que les extraits contiennent du bruit exploitable.
1,What sounds or noises did witnesses hear during the sightings?,naive,R16533 R33175 R40961 R159 R443 R476 R484 R713 R882 R1692 R1935 R2138 R2256 R2812 R3162 R3275 R3693 R3837 R3933 R4826 R5176 R5409 R5807 R6340 R6344,"[R16533] 11/5/2005 23:00 | cranston | ri | us | unknown | we were inside our house and heard several loud jet like sounds that would stop and then start up agan (exactly like the noises posted
[R33175] 2/8/2001 19:44 | wakefield (uk/england) |  | gb | cigar | IT WAS BRIGHT GREEN, WITH A ORANGE/YELLOW TAIL, MOVING FROM EAST TO WEST, DID NOT HEAR ANY SOUNDS FROM IT, ALL HAPPEND IN A FEW SECONDS
[R40961] 4/15/1998 20:30 | hartsgrove | oh | us | disk | Large disc shaped aircraft producing intense volumes of buzzing noises that for some reason I could only hear is what I saw in the sky
[R159] 10/10/2005 20:00 | loretto | pa | us | triangle | Dull red flash, Triangular ship, Vocal Noises
[R443] 10/11/2009 04:00 | crisfield | md | us | light | A bright light moving across the sky getting closer stopped on a dime got brighter and took off with no sounds at all",TRUE,Les citations parlent directement de sons entendus ou non entendus.
2,Which colors are most clearly described by witnesses?,tfidf,R63058 R84182 R18443 R82854 R38706 R58653 R44493 R4408 R54302 R52378 R58665 R36514 R54242 R31747 R87822 R28193 R61546 R8956 R8781 R30460 R38671 R54358 R88122 R58719 R7963 R21493 R54612,"[R63058] 7/15/1987 01:30 | teller | ak | us | disk | 5 CREDITABLE WITNESSES
[R84182] 9/20/1999 02:00 | momoishi (japan) |  |  | triangle | Encounter described in details.
[R18443] 1/19/2014 02:30 | southfield | mi | us | disk | Circular with colors.
[R82854] 9/15/2003 22:15 | denver | co | us | formation | The formation can best be described as being in the shape of a ""snake""
[R38706] 3/5/2010 23:18 | oak harbor | wa | us | other | 4 lights seen clearly many difrent colors that seem to move and turn but do not move in any direction",FALSE,Les citations mentionnent surtout des couleurs sans repondre proprement a quelles couleurs.
2,Which colors are most clearly described by witnesses?,naive,R32 R59 R88 R326 R453 R489 R575 R730 R904 R907 R989 R1002 R1132 R1253 R1467 R1838 R1976 R2307 R2447 R2639 R2765 R2895 R3074 R3120 R3238,"[R32] 10/10/1979 22:00 | security | co | us | unknown | very low clouds all different colors,search lights were seen shining down out of the clouds on the houses and streets. this event was s
[R59] 10/10/1993 22:00 | peoria | il | us | light | Light over Peoria, IL that moves slowly, stops in mid-air, hovers, changes colors, shoots in opposite direction and disappears.
[R88] 10/10/1999 03:00 | st. agnes de dundee (canada) | pq |  | egg | early morning bright object egg shape fully colorder chaging colors as it turn as it was going it change to white colors
[R326] 10/11/1998 20:30 | highland | in | us | sphere | Possible shperical object in northern sky. Colors were green over yellow over red. Disappeard, then reappeared west of original locat
[R453] 10/11/2010 00:30 | redondo beach | ca | us | other | three lights that changed colors rapidly suspended over the ocean that increased and decreased in intensity often",FALSE,Les sources parlent de couleurs mais ne soutiennent pas une reponse precise a quelles couleurs.
3,How do witnesses describe the movement of the objects?,tfidf,R63058 R37494 R57033 R84193 R12428 R84050 R54302 R21060 R87887 R54358 R88122 R54612 R70753 R48568 R32710 R4726 R28306 R39650 R81100 R84044 R24254 R82313 R48656 R15793 R61647 R49116 R30921 R30923 R23195 R23153 R40934,"[R63058] 7/15/1987 01:30 | teller | ak | us | disk | 5 CREDITABLE WITNESSES
[R37494] 3/27/2008 22:00 | pope afb | nc |  | triangle | Objects could be F-117s
[R57033] 6/23/2009 23:58 | guernsey (uk/england??) |  |  | unknown | objects
[R84193] 9/20/2000 12:30 | thessaloniki (greece) |  |  | oval | how the objects were
[R12428] 1/1/2011 00:00 | lincoln city | or | us | light | irratic star movement",TRUE,Les citations soutiennent des mouvements erratiques ou atypiques.
3,How do witnesses describe the movement of the objects?,naive,R385 R531 R749 R752 R1448 R1530 R1575 R1740 R1905 R1907 R1980 R2164 R2474 R2819 R3011 R3187 R3223 R3592 R3720 R3914 R4007 R4366 R4411 R4619 R4708,"[R385] 10/11/2004 22:29 | laredo | tx | us | fireball | Large flaming tail and eratic movement - sudden change of direction
